productName,price,img
NZXT C650 Gold v2 - Voeding,89.95,https://azerty.nl/media/catalog/product/p/3/p3BOu0.b160d139777689cc43d0f86fecad4709-680f037b_1.jpg
be quiet! Pure Power 12 M 850W - Voeding,142.85,https://azerty.nl/media/catalog/product/b/l/blr5G8.f82cbc6904991b8eef2d51f3b6ae601e-2ab0b024.jpg
Corsair RM750e v2 - Voeding,130.85,https://azerty.nl/media/catalog/product/c/w/cwO1Np.2449ff0450ffc745925d70b2016692c1-9e62c97d.jpg
Corsair RM1000e v2 - Voeding,172.95,https://azerty.nl/media/catalog/product/N/O/NOaCpE.c79b98a7938e0f2e6e8edd333d0806fd-bea3ac25_1.jpg
Corsair RM850x (2021) - Voeding,163.85,https://azerty.nl/media/catalog/product/x/u/xuHFm2.068b74f59b888f49fbc76f212900443a-aff3cff3_1.jpg
Corsair RM850e v2 - Voeding,140.85,https://azerty.nl/media/catalog/product/A/B/ABE8d6.3ebb48c09c4692a4613c37637dc90085-86c6f872_1.jpg
NZXT C850 Gold v2 - Voeding,118.85,https://azerty.nl/media/catalog/product/v/L/vLwlcP.270b66e3a6839643a65790fa61dc44a3-bdea73a4.jpg
Seasonic Focus GX-650 - Voeding,€ 119.90,https://azerty.nl/media/catalog/product/5/J/5JNCsE.90492e66c63f4fb7b0a2ed81989a27e1-19d3cae5_1.jpg
Seasonic Focus PX-750 - Voeding,163.85,https://azerty.nl/media/catalog/product/5/8/58DrvW.bd53272821fc6bb6e6d8ee5c03ca47d5-25b8cc0b_1.jpg
Sharkoon SHP Bronze 600 W - Voeding,51.90,https://azerty.nl/media/catalog/product/h/W/hWiqDM.3176662_d37e9be02bd996285e4fc1b4e112adfc-26ca4e75_3.png
be quiet! TFX Power 3 300W Bronze - Voeding,61.85,https://azerty.nl/media/catalog/product/h/k/hkVviQ.28902bc1ce2417b509aa791e52591b30-a51a136a.jpg
Sharkoon WPM Gold ZERO 550W - Voeding,61.99,https://azerty.nl/media/catalog/product/4/m/4meMB4.2809229_85787c000456e7532582282f9ed05b3d-190d5989_1.png
be quiet! STRAIGHT POWER 11 750W Platinum - Voeding,149.95,https://azerty.nl/media/catalog/product/y/M/yM2dQH.2481b265b0e21fcb911509e28d400ef3-a3d59f39.jpg
Sharkoon WPM Gold ZERO 750W - Voeding,90.25,https://azerty.nl/media/catalog/product/p/v/pv2EDD.ce8f65f3708faec1f4b279955014c8c9-1178d407_1.jpg
Seasonic G12 GM 850 watt - Voeding,108.85,https://azerty.nl/media/catalog/product/v/B/vBqq31.da4aa83f65a905691d45380d83c650de-67e946d5.jpg
be quiet! System Power 10 750W - Voeding,83.85,https://azerty.nl/media/catalog/product/j/L/jLv38I.be50a5bae9a07a8abc985f5eeedb6954-57621c76_1.jpg
CORSAIR HX Series HX1200 - Voeding,262.28,https://azerty.nl/media/catalog/product/D/i/Di6NeB.1590956_2590956_1-9dd3afbb_2.png
Gigabyte P550B - Voeding,€ 53.85,https://azerty.nl/media/catalog/product/G/L/GLDyD1.d91f06aa9086c6d291f55f006a7dcd3b-5e20c45c.jpg
NZXT C1200 Gold v2 - Voeding,202.95,https://azerty.nl/media/catalog/product/m/c/mc9x5L.4183705_f7f0bbdb094d0b83d7561fc5ec2130d7-da17fe1e_1.png
be quiet! Straight Power 11 Platinum 1000W - Voeding,242.95,https://azerty.nl/media/catalog/product/s/w/swXL0S.4839b7cbbfcc09d66bca3f9c6d89aa7d-f92502cf.jpg
MSI MPG A850G PCIE5 - Voeding,142.95,https://azerty.nl/media/catalog/product/u/j/ujMOgd.df1960eb4f5997707a6818668b373478-87a67a5c.jpg
Cooler Master V650 Gold V2 - Voeding,115.61,https://azerty.nl/media/catalog/product/1/0/105JXY.a664dcfe948b798c4a7e76ea09b7c1ee-b21d2090.jpg
